Vendor,DeviceID,DriverHi,DriverLo,NTDriverHi,NTDriverLo,CardName,Generic Name,Compatibility Flags.
0x5333, 0x8901, 0x0004000a, 0x0000083f, 0x00000000, 0x00000000,S3,Trio64DX,None
0x5333, 0x8904, 0x0004000a, 0x0000083f, 0x00000000, 0x00000000,S3,Trio 3D,None
0x5333, 0x8a01, 0x0004000a, 0x0000083f, 0x00000000, 0x00000000,S3,Virge DX/GX,None
0x5333, 0x8a10, 0x0004000a, 0x0000083f, 0x00000000, 0x00000000,S3,Virge GX2,None
0x5333, 0x8a13, 0x00000000, 0x00000000, 0x00000000, 0x00000000,S3,Trio3D,None
0x5333, 0x8a20, 0x00000000, 0x00000000, 0x00000000, 0x00000000,S3,Savage 3D,None
0x5333, 0x8a21, 0x00000000, 0x00000000, 0x00000000, 0x00000000,S3,Savage 3D S3,None
0x5333, 0x8a22, 0x00000000, 0x00000000, 0x00000000, 0x00000000,S3,Savage 3D S4,NoParallelism | NoTriLinear | NoMultitexture
0x5333, 0x8c01, 0x00000000, 0x00000000, 0x00000000, 0x00000000,S3,Virge MX,None
0x5333, 0x8c10, 0x00000000, 0x00000000, 0x00000000, 0x00000000,S3,Savage MX,None
0x5333, 0x9102, 0x00000000, 0x00000000, 0x00000000, 0x00000000,S3,Savage 2000,DefaultBltNotFlip | TextureOffset | BadAGP | NoParallelism | SlowDisplayModeChange

0x102b, 0x1000, 0x0004000a, 0x0001100e, 0x00000000, 0x00000000,Matrox,G100 PCI,None
0x102b, 0x1001, 0x0004000a, 0x0001100e, 0x00000000, 0x00000000,Matrox,G100 AGP,None
0x102b, 0x0518, 0x0004000a, 0x0001100e, 0x00000000, 0x00000000,Matrox,Millennium,None
0x102b, 0x0519, 0x0004000a, 0x0001100e, 0x00000000, 0x00000000,Matrox,Millennium,None
0x102b, 0x051a, 0x0004000a, 0x0001100e, 0x00000000, 0x00000000,Matrox,Mystique,None
0x102b, 0x051b, 0x0004000a, 0x0001100e, 0x00000000, 0x00000000,Matrox,Millennium II PCI,None
0x102b, 0x051f, 0x0004000a, 0x0001100e, 0x00000000, 0x00000000,Matrox,Millennium II AGP,None
0x102b, 0x0520, 0x0004000c, 0x00010AAA, 0x00000000, 0x00000000,Matrox,G200 PCI,Disable1024x768
0x102b, 0x0521, 0x0004000c, 0x00010AAA, 0x00000000, 0x00000000,Matrox,G200 AGP,Disable1024x768
0x102b, 0x0525, 0x0004000b, 0x00010514, 0x00000000, 0x00000000,Matrox,G400,None
0x102b, 0x0d10, 0x0004000a, 0x0001100e, 0x00000000, 0x00000000,Matrox,Mystique,None

0x10de, 0x0020, 0x0004000c, 0x0001026a, 0x0005000c, 0x0001026a,nVidia,TNT,RenderEqualZ
0x10de, 0x0028, 0x0004000c, 0x0001026a, 0x0005000c, 0x0001026a,nVidia,TNT2,RenderEqualZ
0x10de, 0x0029, 0x0004000c, 0x0001026a, 0x0005000c, 0x0001026a,nVidia,ULTRA,RenderEqualZ
0x10de, 0x002c, 0x0004000c, 0x0001026a, 0x0005000c, 0x0001026a,nVidia,TNT Vanta,RenderEqualZ
0x10de, 0x002d, 0x0004000c, 0x0001026a, 0x0005000c, 0x0001026a,nVidia,TNT,RenderEqualZ
0x12D2, 0x0018, 0x0004000b, 0x00010155, 0x00000000, 0x00000000,nVidia,128,NoStretchTexture+LimitTextureSize+TextureOffset+NoTriLinear+RenderEqualZ+Limit500VidTextures+Disable1024x768
0x10de, 0x0100, 0x0004000c, 0x0001026a, 0x0005000c, 0x0001026a,nVidia,GeForce,RenderEqualZ
0x10de, 0x0101, 0x0004000c, 0x0001026a, 0x0005000c, 0x0001026a,nVidia,GeForce DDR,RenderEqualZ
0x10de, 0x0103, 0x0004000c, 0x0001026a, 0x0005000c, 0x0001026a,nVidia,GeForce Quadro,RenderEqualZ
0x10de, 0x0110, 0x0004000c, 0x0001026a, 0x0005000c, 0x0001026a,nVidia,GeForce MX,RenderEqualZ
0x10de, 0x0112, 0x0004000c, 0x0001026a, 0x0005000c, 0x0001026a,nVidia,GeForce 2 Go,RenderEqualZ
0x10de, 0x0150, 0x0004000c, 0x0001026a, 0x0005000c, 0x0001026a,nVidia,GeForce 2,RenderEqualZ
0x10de, 0x0152, 0x0004000c, 0x0001026a, 0x0005000c, 0x0001026a,nVidia,GeForce 2 Ultra,RenderEqualZ
0x10de, 0x0200, 0x00000000, 0x00000000, 0x00000000, 0x00000000,nVidia,GeForce 3,RenderEqualZ

0x8086, 0x7800, 0x0004000a, 0x0001064A, 0x00000000, 0x00000000,Intel,740,Bad8888 + NoMipMap + DisableTextureDeletes + ForceSquareTextures + LimitTextureSize + Disable1024x768 + Disable32BitRender
0x8086, 0x1240, 0x00000000, 0x00000000, 0x00000000, 0x00000000,Intel,752,Bad8888 + NoMipMap + DisableTextureDeletes + ForceSquareTextures + LimitTextureSize + Disable1024x768 + Disable32BitRender
0x8086, 0x7121, 0x00000000, 0x00000000, 0x00000000, 0x00000000,Intel,810,Disable1024x768 + Bad8888 + NoMipMap + DisableTextureDeletes + ForceSquareTextures + LimitTextureSize
0x8086, 0x7123, 0x00000000, 0x00000000, 0x00000000, 0x00000000,Intel,810,Disable1024x768 + Bad8888 + NoMipMap + DisableTextureDeletes + ForceSquareTextures + LimitTextureSize
0x8086, 0x7125, 0x00000000, 0x00000000, 0x00000000, 0x00000000,Intel,810e,Disable1024x768 + Bad8888 + NoMipMap + DisableTextureDeletes + ForceSquareTextures + LimitTextureSize

0x1033, 0x0067, 0x00000000, 0x00000000, 0x00000000, 0x00000000,VideoLogic,PowerVR2,SceneRenderer
